{[18777, 930276]}
{[18695, 930430]}
{[18693, 930430]}
{[18692, 930430]}
{[18691, 930430]}
{[18690, 930272]}
{[18687, 930272]}
{[18683, 930270]}
{[18681, 930430]}
{[18680, 930272]}
{[18677, 930272]}
{[18675, 930272]}
{[18674, 930430]}
{[18672, 930272]}
{[18667, 930270]}
{[18666, 930430]}
{[18663, 930430]}
{[18660, 930430]}
{[18655, 930272]}
{[18651, 930430]}
{[18650, 930430]}
{[18647, 930430]}
{[18643, 930270]}
{[18642, 930272]}
{[18637, 930430]}
{[18635, 930270]}
{[18515, 930268]}
{[18489, 930434]}
{[18335, 930432]}
{[18312, 930434]}
{[18306, 930439]}
{[18299, 930436]}
{[18138, 930434]}
{[18130, 930433]}
{[18123, 930434]}
{[18110, 930439]}
{[18051, 930442]}
{[17741, 930434]}
{[17738, 930435]}
{[17737, 930432]}
{[17736, 930432]}
{[17734, 930432]}
{[17727, 930434]}
{[17725, 930434]}
{[17724, 930434]}
{[17722, 930384]}
{[17721, 930384]}
{[17720, 930384]}
{[17719, 930384]}
{[17718, 930384]}
{[17717, 930384]}
{[17716, 930384]}
{[17715, 930384]}
{[17714, 930384]}
{[17713, 930384]}
{[17712, 930384]}
{[17711, 930384]}
{[17710, 930384]}
{[17709, 930384]}
{[17708, 930384]}
{[17707, 930384]}
{[17701, 930285]}
{[17699, 930284]}
{[17697, 930287]}
{[17695, 930288]}
{[17693, 930286]}
{[17669, 930433]}
{[17662, 930319]}
{[17661, 930319]}
{[17660, 930319]}
{[17659, 930319]}
{[17658, 930319]}
{[17657, 930319]}
{[17656, 930319]}
{[17654, 930319]}
{[17653, 930319]}
{[17652, 930319]}
{[17651, 930319]}
{[17631, 930433]}
{[17617, 930432]}
{[17607, 930434]}
{[17568, 930442]}
{[17557, 930283]}
{[17556, 930282]}
{[17520, 930274]}
{[17519, 930274]}
{[17516, 930274]}
{[17515, 930274]}
{[17512, 930434]}
{[17510, 930274]}
{[17507, 930274]}
{[17504, 930274]}
{[17500, 930274]}
{[17496, 930274]}
{[17494, 930438]}
{[17492, 930274]}
{[17491, 930432]}
{[17490, 930274]}
{[17489, 930274]}
{[17488, 930274]}
{[17485, 930436]}
{[17482, 930274]}
{[17481, 930434]}
{[17480, 930274]}
{[17479, 930274]}
{[17478, 930434]}
{[17477, 930274]}
{[17474, 930274]}
{[17473, 930437]}
{[17470, 930274]}
{[17469, 930434]}
{[17467, 930274]}
{[17464, 930274]}
{[17463, 930274]}
{[17458, 930274]}
{[17308, 930434]}
{[17263, 930279]}
{[17260, 930278]}
{[17234, 930434]}
{[17228, 930433]}
{[17214, 930432]}
{[17212, 930435]}
{[17197, 930434]}
{[17185, 930432]}
{[17180, 930432]}
{[17178, 930437]}
{[17159, 930437]}
{[17157, 930434]}
{[17154, 930437]}
{[17153, 930434]}
{[17149, 930434]}
{[17079, 930435]}
{[17078, 930433]}
{[17068, 930434]}
{[17021, 930384]}
{[17020, 930384]}
{[17019, 930384]}
{[17016, 930384]}
{[17013, 930384]}
{[17012, 930384]}
{[17011, 930384]}
{[17010, 930384]}
{[16957, 930434]}
{[16946, 930434]}
{[16943, 930436]}
{[16926, 930435]}
{[16921, 930435]}
{[16920, 930432]}
{[16906, 930432]}
{[16904, 930439]}
{[16903, 930437]}
{[16901, 930436]}
{[16765, 930434]}
{[16748, 930436]}
{[16739, 930432]}
{[16734, 930434]}
{[16725, 930432]}
{[16723, 930432]}
{[16719, 930436]}
{[16622, 930274]}
{[16621, 930274]}
{[16619, 930274]}
{[16618, 930432]}
{[16615, 930274]}
{[16605, 930274]}
{[16604, 930274]}
{[16600, 930435]}
{[16599, 930433]}
{[16590, 930274]}
{[16588, 930274]}
{[16587, 930274]}
{[16586, 930274]}
{[16581, 930274]}
{[16579, 930274]}
{[16578, 930433]}
{[16575, 930274]}
{[16571, 930274]}
{[16570, 930274]}
{[16562, 930432]}
{[16560, 930432]}
{[16553, 930438]}
{[16552, 930436]}
{[16497, 930433]}
{[16414, 930314]}
{[16413, 930314]}
{[16412, 930314]}
{[16411, 930314]}
{[16410, 930314]}
{[16409, 930314]}
{[16408, 930314]}
